769-72-6660,F,Zihuadick,28/02/2020,Portugal
640-12-6872,M,Krebs Stimulator Plus,24/04/2018,Vietnam
606-45-8565,F,Phenytoin Sodium,27/11/2019,Sweden
122-17-6004,F,Verapamil Hydrochloride,12/07/2018,Indonesia
590-06-2022,M,Alprazolam,31/08/2019,Sweden
259-28-5643,F,Hydrocortisone,01/05/2019,China
441-28-1370,F,BreathAway,26/09/2018,Philippines
431-99-0016,M,Zodryl DEC 30,03/03/2018,Israel
684-22-6224,F,Day Time,06/11/2018,Ukraine
687-83-8664,F,Neutrogena SkinClearing,30/11/2019,Indonesia
822-26-7816,M,Carisoprodol,21/04/2019,China
220-62-0455,F,Levofloxacin,26/05/2020,Sweden
144-56-4252,M,topcare tussin CF,03/02/2019,Canada
346-59-8286,F,Lorazepam,22/05/2019,China
345-99-1359,M,NATURCOKSINUM FLU RELIEF,07/02/2020,Indonesia
447-46-6602,F,Valproate Sodium,27/09/2018,China
287-76-1990,F,KEDBUMIN,22/02/2019,Costa Rica
546-75-2231,F,Baza Cleanse and Protect,02/03/2019,Argentina
728-63-3378,M,Aspirin,16/10/2019,China
306-47-5700,F,Alcoscrub,31/10/2019,Indonesia
828-51-3225,F,kirkland signature aller tec,05/03/2019,Russia
147-42-5833,M,Lorazepam,05/05/2020,Tanzania
687-79-4582,F,SEROQUEL,26/03/2018,Denmark
584-32-0787,M,Ticlopidine Hydrochloride,09/10/2018,Indonesia
759-60-7501,F,Gleostine,24/10/2019,Ukraine
402-05-9089,M,Obao Piel Delicada,30/01/2019,China
715-78-0456,M,Cactus Grandiflorus Kit Refill,10/04/2019,China
414-52-2394,F,Octreotide Acetate,24/03/2020,China
189-46-4685,F,RANITIDINE,15/03/2018,Peru
875-84-6234,F,Insect Bite,17/07/2019,Indonesia
749-66-1694,F,Veil Fluid Makeup Light Beige,12/06/2019,Portugal
454-09-7935,M,Lidocaine Hydrochloride,10/05/2018,Dominican Republic
811-09-2190,F,Isopropyl Alcohol Prep Swab,23/04/2020,Ecuador
724-72-0554,F,VIVID TINT BAR,12/12/2019,Indonesia
418-17-5099,F,balance-n-brighten,05/04/2020,Paraguay
875-98-2603,M,Prednisone,05/07/2019,Sweden
356-87-1777,F,Amazonian Colored Clay Foundation Broad Spectrum SPF 15 Sunscreen,01/05/2020,Thailand
742-87-3385,M,Losortan Potassium,22/12/2018,Russia
288-96-1190,F,BECONASE,30/05/2018,China
747-06-3797,M,Dinosaur Gel Toothpaste,21/03/2019,Brazil
764-67-5525,M,Tussin CF,10/03/2019,Russia
264-91-4682,F,amoxicillin and clavulanate potassium,19/03/2018,Brazil
527-99-8890,F,Ofloxacin,10/02/2020,Portugal
877-85-6150,F,Wal-Zyr,19/01/2019,Indonesia
808-59-9856,M,Stool Softener plus stimulant Laxative,25/12/2019,Finland
514-93-8072,M,Methadone Hydrochloride,07/10/2018,China
110-24-6513,F,Perphenazine,30/03/2018,China
455-05-6671,F,Treatment Set TS348403,21/12/2018,Tunisia
419-52-8614,M,SHISEIDO THE MAKEUP LIFTING FOUNDATION,12/02/2019,China
663-14-6780,F,antiperspirant deodorant,23/06/2019,Portugal
881-21-9326,M,Nicotiana e fol. 6,17/10/2019,Costa Rica
866-91-7109,M,Overwhelmed,29/04/2018,Russia
458-24-7920,F,Allergy Relief,21/05/2020,Indonesia
583-42-7298,M,ANTIDANDRUFF,10/07/2018,Portugal
107-95-6459,F,Dolce and Gabbana Daily Moisturizer,24/09/2019,Philippines
816-73-1210,M,DIPHENHYDRAMINE HYDROCHLORIDE,02/02/2020,Philippines
527-81-9016,F,Pranactin-Citric,18/06/2019,South Korea
422-90-8292,M,ESSENCE OF BEAUTY,08/07/2018,Indonesia
287-55-6582,M,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,14/12/2018,Brazil
113-31-7679,F,Clonazepam,11/08/2019,Greece
766-11-4775,M,Loperamide Hydrochloride,25/06/2018,Tunisia
619-38-6964,F,PediaCare Childrens Fever Reducer Pain Reliever Dye Free,08/04/2019,China
167-46-5479,F,YERVOY,23/03/2018,Mexico
600-20-3080,M,PURE HYDROGEL MASK PACK,15/04/2018,Indonesia
393-61-2288,F,Turbo Travel Sickness,27/09/2019,Sri Lanka
739-98-5918,F,Guanidine hydrochloride,09/03/2020,United Kingdom
336-43-5626,M,Polyethylene Glycol 3350 NF,30/07/2018,Angola
473-77-4977,M,PURE SPRING,18/01/2018,Brazil
338-82-2476,M,Lamotrigine,19/08/2018,Czech Republic
101-45-7078,M,AVANDIA,03/08/2018,Palestinian Territory
235-39-9307,F,Oyster,23/11/2019,Sweden
595-11-8595,M,Diltiazem Hydrochloride,01/02/2020,Vietnam
485-23-7477,M,Red Eye Reducer,28/01/2019,Indonesia
782-01-6908,M,Carbamazepine,25/12/2018,South Korea
414-40-3285,F,Amlodipine Besylate,26/01/2019,United States
793-99-2013,M,I-MAX LIGHTENING L,02/10/2018,China
862-37-8114,F,Triacting Night Time,26/03/2018,Nigeria
690-95-5534,M,Ferrum phosphoricum 6,01/01/2019,Portugal
287-44-8841,M,Dermatop,25/09/2018,Russia
872-29-1672,F,Cocklebur,27/10/2019,China
495-04-1973,F,Aleve,15/02/2019,France
103-38-7643,M,up and up allergy relief,20/01/2019,Brazil
775-15-5981,F,SHISEIDO FUTURE SOLUTION LX TOTAL RADIANCE FOUNDATION,16/01/2020,Nigeria
851-47-0630,M,LBEL COULEUR LUXE AMPLIFIER XP,06/12/2018,Uzbekistan
159-47-9996,M,Chlorpromazine Hydrochloride,21/05/2018,Russia
441-26-1118,M,COUMADIN,14/06/2019,China
144-65-6857,F,Henry Schein Ibuprofen,31/12/2018,Vietnam
225-46-5510,M,LBEL Couleur Luxe Rouge Amplifier XP amplifying SPF 15,14/08/2019,Peru
546-94-2381,F,Ferrum sidereum 6,20/05/2018,Israel
193-08-6476,F,Haloperidol Lactate,17/04/2018,Iran
345-11-9564,M,Cimetidine,28/05/2018,France
782-51-8420,F,Childrens Allergy,19/07/2018,China
725-23-4182,F,TUBERSOL,23/03/2020,China
336-62-4978,M,topiramate,29/07/2018,Peru
120-89-6074,F,Divalproex Sodium,04/11/2019,Ukraine
827-39-1437,M,Metoprolol Tartrate,22/04/2018,Indonesia
638-68-6791,F,HepaGam B,01/07/2019,Czech Republic
132-82-6525,F,Hibistat,31/01/2019,Indonesia
326-55-3484,F,Lisinopril,15/03/2019,Russia
634-84-2640,F,SELEGILINE HYDROCHLORIDE,12/01/2018,Indonesia
258-09-1404,M,Thyro Tonic,16/03/2018,Philippines
251-27-3458,F,TS (Talmostop) Hair Tonic,29/10/2019,China
874-61-7040,M,Treatment Set TS330171,21/07/2019,China
233-53-9786,F,equaline nicotine,06/06/2019,France
798-44-3200,M,Softlips Pure Lip Gloss,27/10/2019,Iraq
190-80-9023,M,EZ Nite Sleep,02/02/2019,China
245-40-5762,M,Metoprolol Succinate,10/10/2019,Kazakhstan
288-68-5927,M,Celery,15/12/2019,China
853-05-4323,F,Chloroquine,05/09/2018,Portugal
732-96-2151,F,Readi-Cat2,13/11/2018,China
873-24-5478,F,Covergirl Outlast Stay Fabulous 3in1 Foundation,23/11/2019,Sweden
485-21-2662,F,POPULUS ALBA POLLEN,19/04/2019,Croatia
300-70-0703,F,vanarex hair regrowth treatment,29/09/2019,Ukraine
310-33-5765,F,Bellagio Sunscreen SPF 30,17/05/2018,Indonesia
684-18-1425,F,Estradiol,03/08/2018,Indonesia
232-22-2387,F,Promethazine Hydrochloride and Dextomethorphan Hydrobromide,05/05/2018,Portugal
875-86-3310,M,CEDERROTH Emergency Eye Wash,13/12/2019,Morocco
685-07-5810,M,Caribbean Escape Anti Bacterial Foaming Hand,29/09/2018,Russia
624-71-4106,M,Betamethasone Dipropionate,11/06/2018,Philippines
324-16-5335,F,ENALAPRIL MALEATE,31/03/2020,Sweden
290-20-1846,M,Cephalosporium,14/11/2018,Indonesia
351-52-4470,F,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,10/07/2018,China
753-66-7899,F,DOCTORS CHOICE,09/12/2018,Russia
591-77-3247,M,Tanzeum,01/04/2019,China
777-78-9619,M,Labetalol Hydrochloride,20/02/2019,United States
796-15-9970,M,Allergy Relief Now Inhaled Allergy Remedy,20/05/2019,Russia
161-96-0360,M,Clonidine Hydrochloride,22/12/2018,Indonesia
549-23-5802,F,DELFLEX,13/04/2020,Serbia
216-04-9240,M,Trelstar,08/02/2020,Czech Republic
654-10-5150,M,donepezil hydrochloride,17/11/2018,Peru
322-76-5387,M,Alcohol Free Antiseptic,08/04/2019,Cameroon
691-81-3800,M,Bleomycin,19/06/2019,China
810-09-7983,M,Ciprofloxacin,01/10/2018,Haiti
204-35-7658,M,Doxycycline,28/09/2018,Portugal
297-95-9013,M,Seequin 4,17/09/2018,China
268-66-2272,M,Savella,27/11/2018,Indonesia
475-18-3180,F,shing-Releev,22/07/2018,Mexico
531-57-9676,F,Herring,06/02/2019,Mexico
192-21-5248,F,Spatheraphy,16/09/2019,China
185-10-8697,F,ALLIUM CEPA,10/11/2018,Russia
409-40-8075,M,CHILDRENS ADVIL,15/02/2020,France
633-11-9259,M,Atenolol,08/03/2019,Vietnam
532-16-1525,F,Naproxen,07/04/2020,Portugal
784-30-7184,M,Ipratropium Bromide,23/04/2019,Sweden
351-29-0070,M,Smart Sense Hemorrhoidal,04/08/2018,Indonesia
721-28-2621,F,Promethazine with Codeine,18/10/2018,Botswana
697-79-3004,F,Olanzapine,13/05/2020,Sweden
840-62-7053,M,Acyclovir,13/06/2019,Honduras
511-25-1091,F,DOCUSATE SODIUM 50 MG,29/03/2019,Iran
685-72-8620,M,FeverALL Adults,01/12/2018,France
159-79-4128,F,Propranolol Hydrochloride,11/12/2019,Indonesia
164-88-9465,M,Phenytoin Sodium,19/12/2019,Greece
165-55-4589,M,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,08/01/2020,Nigeria
882-13-9352,M,Metformin Hydrochloride,31/01/2019,United States
327-75-9055,M,American Red Cross First Aid Kit,08/09/2018,China
765-10-2692,F,Hot Ice Soothing Analgesic Gel,22/04/2019,Poland
882-44-8881,F,flormar BB Sheer Tinted Beauty Sunscreen Broad Spectrum SPF 15 03 Dark Medium,10/07/2019,Uganda
276-37-7481,F,Levofloxacin,15/04/2020,Benin
671-69-7205,F,OASIS Tears Plus,24/12/2018,Czech Republic
184-78-8163,M,KPP Ultra Thick Medicated Callus Remover,07/04/2018,China
838-03-4040,M,pain relief,09/01/2018,China
261-42-5214,M,LIP BALM,18/08/2018,China
640-71-6153,M,Stool Softener plus Stimulant Laxative,13/04/2019,China
533-32-9605,M,Thyroplex,15/05/2020,Indonesia
579-41-7222,M,Buprenorphine HCl and Naloxone HCl,22/10/2019,Niger
233-70-3207,F,Male Balance,16/03/2019,Japan
649-15-1504,M,Chlorothiazide,15/06/2019,Peru
610-79-7302,M,Aspirin,10/08/2019,Paraguay
165-11-1725,F,TOMATO SUN,23/09/2018,Netherlands
371-27-8506,F,Cozaar,17/10/2018,Indonesia
341-04-8701,F,NiteTime DayTime,10/01/2020,Chile
528-54-3311,F,RYZOLT,01/09/2019,Canada
174-13-2281,M,ROBAXIN,28/03/2018,Morocco
577-17-3251,F,Medline Acetaminophen,18/02/2018,South Korea
228-19-6832,F,Dermasil Advanced,17/07/2019,Poland
554-10-3942,F,WhiskCare 375,20/01/2019,Czech Republic
277-71-8650,F,Speech Therapy,13/10/2019,Armenia
452-97-5524,M,Dologesic,04/05/2020,Montenegro
256-77-8106,M,Cefadroxil,22/09/2018,Russia
630-74-5243,M,DELFLEX,29/01/2018,Japan
263-09-6127,F,Medicated Apricot Scrub,14/04/2019,Brazil
322-60-1356,M,Green Apple Hand Sanitizer,21/10/2019,Poland
771-40-4394,F,Morphine sulfate,26/03/2019,Indonesia
284-20-2621,M,CITALOPRAM,02/01/2018,Indonesia
510-66-7498,M,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,15/05/2020,United States
682-78-7833,M,Sepia,08/03/2020,Greece
695-98-5431,M,Vicks VapoRub,27/12/2019,Ukraine
638-10-1900,F,expectorant,06/05/2020,Latvia
837-82-5679,F,Mark 3,08/12/2019,United States
303-94-3193,F,Adapalene,07/04/2019,China
490-56-6327,F,good sense acid reducer,09/06/2018,Russia
489-39-3561,F,Lamotrigine,27/03/2020,China
719-99-2739,M,Losartan Potassium,16/02/2020,Russia
770-56-6590,F,Naropin,09/02/2018,Yemen
471-72-6613,F,up and up miconazole 1,10/07/2018,China
140-75-3149,F,METFORMIN HYDROCHLORIDE,08/03/2020,China
875-71-7994,M,JALYN,30/12/2018,Mali
830-89-4926,M,CETIRIZINE HYDROCHLORIDE,06/08/2018,New Zealand
241-84-2510,M,Lidocaine Hydrochloride and Epinephrine,24/10/2019,Malaysia
135-21-2607,F,Bupropion Hydrochloride,01/05/2019,France
387-12-1928,M,GILTUSS PEDIATRIC,08/09/2018,Indonesia
867-99-5499,F,Terazosin Hydrochloride,19/01/2019,Morocco
576-59-3937,F,Goat Epithelia,17/10/2019,Ireland
684-44-9090,F,Naproxen,17/05/2019,Indonesia
522-51-1090,F,SkinMedica Purifying Toner,20/02/2019,China
382-95-0751,F,XANTHIUM STRUMARIUM VAR CANADENSE POLLEN,30/04/2019,China
822-67-0132,F,Antioxidant Daily Protectant SPF 50,22/02/2018,Philippines
660-18-8030,F,Levetiracetam,23/02/2020,China
536-14-1987,M,Nasal Decongestant,06/08/2019,China
598-49-4682,F,Good Sense Hair Regrowth Treatment,26/09/2019,Uruguay
172-47-9020,F,Chlorhexidine Gluconate,12/05/2018,Russia
888-97-8064,M,Lactated Ringers,23/09/2019,Nigeria
192-63-2119,F,Cetrizine Hydrochloride,12/05/2020,France
342-69-3096,F,Aorta Belladonna,05/04/2018,Lesotho
667-01-1227,M,Gas Relief,14/05/2020,Uzbekistan
314-36-7357,M,Varicose Vein Complex,01/11/2019,Brazil
463-40-8186,F,Berberis Prunus,25/01/2020,Dominican Republic
717-27-6113,M,Sunmark Hemorrhoidal,27/12/2018,Argentina
106-98-4072,M,Diazepam,24/04/2018,Philippines
778-57-6135,F,SNAIL THERAPY 70 SPECIAL SET,16/12/2019,Armenia
365-89-1413,F,Dye-Free Wal-Dryl,26/03/2019,Venezuela
376-51-3474,M,Robitussin Peak Cold Cough Plus Chest Congestion DM,10/06/2019,Portugal
406-51-0581,F,Hyperactivity - Mental Focus,02/04/2018,Portugal
418-25-4723,M,Lisinopril,25/03/2018,China
670-11-7247,F,Mirtazapine,30/12/2019,United States
734-48-2512,F,Promethazine Hydrochloride,24/01/2020,Brazil
845-96-8751,F,Sore Throat,01/12/2018,China
544-43-0327,M,Stool Softener plus Laxative,25/08/2019,United States
780-09-2039,F,Furosemide,21/04/2019,Sweden
325-29-5584,M,Anticavity,10/04/2019,Indonesia
547-98-0831,F,Pre Dental Visit,13/06/2019,Liberia
368-36-4310,F,Orange,29/05/2019,Philippines
372-75-3118,M,CEFAZOLIN,03/03/2018,France
678-08-2763,M,Day Time,21/02/2018,Croatia
709-17-4357,F,Fiore Rx Antifungal ProPen,07/05/2018,Angola
667-73-6795,F,DIGOX,25/06/2018,Indonesia
104-97-2939,F,Telmisartan,08/09/2018,China
297-88-9285,M,Dental Relief,22/09/2018,Botswana
385-41-8565,M,AZITHROMYCIN,25/06/2019,China
686-40-8139,M,Vitafol,29/06/2018,China
889-08-0142,M,Perphenazine,21/01/2018,Greece
315-42-4082,F,Risperidone,22/07/2019,Philippines
816-90-9307,M,ESSENTIAL BODY MOISTURIZING ESSENCE,09/01/2019,Indonesia
237-53-6304,F,EARACHE KIDS RELIEF,28/12/2018,Poland
528-36-8939,M,Prednisone,20/02/2018,Indonesia
117-71-1189,F,SSD Cream,20/03/2018,Iran
338-73-1443,M,Ready Foundation,15/07/2019,Ukraine
759-21-0687,M,Treatment Set TS337026,03/07/2018,Indonesia
590-74-1932,F,Senna Laxative,23/03/2018,Indonesia
220-82-2494,F,Therafeldamine,15/10/2019,Indonesia
713-15-5815,F,Auro Earache Relief,10/08/2018,Ghana
